moves,time (sec),game
1523,0.94,361
1371,0.61,362
1103,1.14,363
1700,0.66,364
1595,0.85,365
1574,0.72,366
1600,0.7,367
754,0.28,368
1478,0.63,369
1622,0.87,370
1858,1.01,371
1899,1.08,372
1426,1.0,373
1472,1.16,374
1573,0.81,375
975,0.38,376
1720,0.8,377
1658,0.79,378
1012,0.42,379
926,0.35,380
1478,0.6,381
1553,0.78,382
1033,0.45,383
1327,1.2,384
1145,0.92,385
1750,0.83,386
1872,1.02,387
1696,0.8,388
1271,0.53,389
1658,0.8,390
1213,0.5,391
1551,2.17,392
1277,0.54,393
1150,0.48,394
1730,0.78,395
1386,1.02,396
1160,1.1,397
1767,0.91,398
1009,0.4,399
1787,0.71,400
1016,0.37,401
1471,1.11,402
1191,1.36,403
1250,0.5,404
1775,0.77,405
1706,0.81,406
1729,1.14,407
1128,0.47,408
1807,0.83,409
1492,0.69,410
1547,0.79,411
802,0.32,412
1383,0.71,413
819,0.35,414
650,0.27,415
1411,0.84,416
550,0.2,417
1097,0.76,418
1101,0.42,419
1848,1.1,420
1277,0.73,421
1250,0.53,422
1342,0.52,423
1586,1.04,424
1505,1.01,425
818,0.34,426
1702,0.97,427
1330,0.53,428
1268,1.4,429
1827,0.84,430
1050,1.42,431
1602,0.65,432
1227,1.16,433
1776,2.41,434
1719,0.71,435
1422,0.57,436
1474,0.84,437
1252,0.63,438
829,0.33,439
2016,0.89,440
1965,0.94,441
1189,0.93,442
1784,0.79,443
1076,1.13,444
847,0.33,445
1363,1.28,446
1527,0.65,447
1275,0.48,448
1628,0.68,449
1460,0.59,450
1728,0.83,451
1521,1.29,452
1811,1.13,453
1141,0.67,454
1991,0.83,455
1160,0.46,456
1707,1.07,457
1589,0.67,458
1773,1.06,459
1577,1.04,460
1185,0.86,461
1298,0.56,462
832,1.55,463
1310,0.58,464
1688,0.68,465
994,0.4,466
1711,1.13,467
1411,1.17,468
1931,0.83,469
1419,0.6,470
1332,0.82,471
1547,2.44,472
1576,0.67,473
1442,0.59,474
1192,0.43,475
1521,0.57,476
1469,1.16,477
1772,1.06,478
1386,0.55,479
801,0.35,480
1903,0.85,481
1943,0.89,482
1655,1.01,483
1174,1.13,484
1526,0.7,485
1382,0.63,486
973,0.42,487
1479,0.84,488
1647,0.65,489
1049,0.75,490
1802,1.05,491
1722,0.81,492
745,0.3,493
1371,0.71,494
1501,0.59,495
1574,0.69,496
1574,0.69,497
1194,0.49,498
1763,0.83,499
1121,0.9,500
