moves,time (sec),game
160,0.07,334
174,0.06,335
145,0.05,336
77,0.02,337
145,0.06,338
166,0.05,339
147,0.06,340
147,0.07,341
96,0.03,342
166,0.08,343
109,0.04,344
114,0.05,345
111,0.03,346
184,0.07,347
203,0.07,348
79,0.04,349
95,0.03,350
180,0.07,351
127,0.06,352
166,0.05,353
147,0.05,354
144,0.05,355
153,0.06,356
101,0.04,357
183,0.07,358
146,0.05,359
175,0.08,360
144,0.04,361
226,0.08,362
114,0.04,363
168,0.1,364
156,0.05,365
164,0.07,366
206,0.07,367
140,0.05,368
143,0.05,369
152,0.05,370
186,0.06,371
153,0.07,372
162,0.07,373
178,0.07,374
234,0.08,375
127,0.04,376
110,0.05,377
184,0.08,378
149,0.06,379
151,0.06,380
161,0.05,381
110,0.04,382
154,0.07,383
186,0.09,384
166,0.08,385
144,0.04,386
210,0.07,387
206,0.06,388
161,0.07,389
108,0.03,390
99,0.03,391
119,0.04,392
80,0.07,393
139,0.04,394
129,0.05,395
161,0.07,396
138,0.04,397
161,0.05,398
109,0.03,399
143,0.08,400
145,0.05,401
127,0.06,402
147,0.07,403
72,0.05,404
121,0.07,405
226,0.07,406
125,0.04,407
153,0.06,408
121,0.04,409
114,0.04,410
105,0.03,411
193,0.06,412
154,0.05,413
181,0.06,414
202,0.08,415
148,0.05,416
129,0.06,417
175,0.07,418
155,0.08,419
118,0.04,420
89,0.03,421
128,0.05,422
164,0.09,423
153,0.07,424
128,0.04,425
185,0.09,426
200,0.07,427
95,0.03,428
118,0.05,429
96,0.05,430
228,0.07,431
59,0.02,432
134,0.04,433
158,0.06,434
123,0.04,435
135,0.04,436
191,0.09,437
171,0.05,438
199,0.07,439
197,0.08,440
99,0.05,441
123,0.04,442
204,0.08,443
90,0.03,444
192,0.08,445
161,0.05,446
121,0.07,447
90,0.03,448
152,0.08,449
172,0.06,450
123,0.05,451
143,0.05,452
69,0.02,453
160,0.05,454
135,0.05,455
129,0.07,456
117,0.03,457
173,0.05,458
182,0.08,459
138,0.05,460
50,0.04,461
123,0.05,462
110,0.04,463
118,0.08,464
213,0.07,465
192,0.07,466
122,0.04,467
213,0.07,468
195,0.08,469
149,0.06,470
204,0.08,471
76,0.03,472
138,0.06,473
95,0.04,474
180,0.06,475
131,0.04,476
211,0.06,477
127,0.04,478
134,0.05,479
180,0.07,480
194,0.06,481
195,0.06,482
120,0.07,483
208,1.04,484
105,0.03,485
132,0.07,486
144,0.05,487
106,0.03,488
134,0.04,489
112,0.05,490
162,0.06,491
185,0.1,492
179,0.07,493
141,0.07,494
170,0.05,495
205,0.08,496
245,0.08,497
125,0.06,498
202,0.08,499
149,0.07,500
