moves,time (sec),game
103,0.09,1
190,0.1,2
186,0.07,3
137,0.04,4
174,0.05,5
196,0.08,6
162,0.09,7
164,0.09,8
180,0.06,9
176,0.06,10
165,0.05,11
91,0.03,12
225,0.07,13
139,0.06,14
164,0.09,15
191,0.07,16
108,0.03,17
102,0.07,18
196,0.07,19
168,0.05,20
186,0.09,21
187,0.09,22
140,0.05,23
114,0.05,24
207,0.08,25
186,0.08,26
167,0.05,27
210,0.09,28
113,0.04,29
77,0.06,30
172,0.07,31
163,0.06,32
223,0.09,33
218,0.08,34
224,0.07,35
135,0.04,36
214,0.07,37
71,0.06,38
188,0.07,39
236,0.1,40
157,0.05,41
120,0.05,42
211,0.08,43
167,0.06,44
195,0.09,45
189,0.08,46
156,0.09,47
164,0.05,48
144,0.07,49
169,0.05,50
220,0.07,51
166,0.05,52
113,0.05,53
185,0.08,54
171,0.06,55
157,0.06,56
122,0.04,57
146,0.05,58
101,0.05,59
203,0.09,60
88,0.05,61
137,0.07,62
227,0.08,63
156,0.07,64
157,0.05,65
137,0.06,66
161,0.05,67
100,0.05,68
127,0.04,69
150,0.08,70
118,0.05,71
136,0.07,72
204,0.08,73
181,0.07,74
163,0.08,75
142,0.06,76
162,0.08,77
157,0.06,78
175,0.08,79
108,0.04,80
97,0.05,81
184,0.09,82
146,0.05,83
128,0.04,84
145,0.06,85
135,0.09,86
127,0.04,87
95,0.03,88
146,0.05,89
161,0.05,90
118,0.06,91
191,0.08,92
114,0.03,93
131,0.05,94
193,0.06,95
102,0.05,96
107,0.04,97
125,0.04,98
169,0.06,99
191,0.07,100
236,0.09,101
156,0.05,102
151,0.06,103
136,0.04,104
139,0.06,105
177,0.06,106
189,0.08,107
130,0.06,108
119,0.04,109
171,0.06,110
218,0.08,111
136,0.08,112
146,0.06,113
216,0.11,114
183,0.07,115
112,0.04,116
227,0.08,117
103,0.04,118
193,0.09,119
162,0.05,120
195,0.08,121
191,0.08,122
153,0.05,123
113,0.04,124
127,0.07,125
87,0.04,126
166,0.05,127
135,0.04,128
174,0.07,129
155,0.05,130
180,0.08,131
93,0.06,132
195,0.08,133
161,0.06,134
79,0.04,135
146,0.08,136
164,0.06,137
186,0.08,138
210,0.07,139
89,0.06,140
127,0.08,141
105,0.07,142
198,0.08,143
165,0.06,144
102,0.04,145
122,0.05,146
187,0.08,147
188,0.07,148
163,0.08,149
128,0.04,150
171,0.08,151
134,0.06,152
124,0.04,153
225,0.08,154
157,0.07,155
120,0.04,156
182,0.09,157
196,0.06,158
181,0.06,159
222,0.07,160
160,0.07,161
196,0.06,162
112,0.04,163
179,0.07,164
171,0.07,165
115,0.04,166
226,0.09,167
168,0.06,168
211,0.07,169
148,0.07,170
124,0.04,171
162,0.08,172
169,0.06,173
106,0.04,174
135,0.07,175
167,0.05,176
145,0.05,177
128,0.05,178
181,0.1,179
113,0.05,180
163,0.06,181
177,0.06,182
190,0.06,183
164,0.07,184
229,0.07,185
185,0.07,186
142,0.09,187
152,0.05,188
86,0.04,189
92,0.04,190
183,0.06,191
101,0.03,192
205,0.07,193
92,0.04,194
185,0.08,195
178,0.05,196
183,0.07,197
106,0.04,198
91,0.05,199
136,0.04,200
203,0.11,201
137,0.05,202
145,0.05,203
193,0.08,204
144,0.06,205
97,0.04,206
135,0.05,207
165,0.08,208
137,0.06,209
160,0.05,210
128,0.05,211
115,0.04,212
180,0.08,213
103,0.04,214
176,0.08,215
132,0.06,216
127,0.06,217
141,0.06,218
189,0.06,219
193,0.07,220
177,0.08,221
101,0.03,222
93,0.03,223
104,0.06,224
139,0.04,225
121,0.04,226
96,0.04,227
141,0.06,228
152,0.05,229
129,0.1,230
124,0.04,231
165,0.07,232
218,0.08,233
174,0.07,234
105,0.06,235
178,0.06,236
146,0.06,237
145,0.08,238
152,0.09,239
154,0.05,240
135,0.05,241
131,0.04,242
184,0.06,243
88,0.07,244
170,0.08,245
136,0.04,246
156,0.06,247
162,0.07,248
169,0.05,249
188,0.09,250
137,0.08,251
182,0.07,252
101,0.07,253
159,0.06,254
179,0.06,255
163,0.06,256
144,0.08,257
125,0.04,258
173,0.07,259
116,0.06,260
204,0.08,261
196,0.07,262
89,0.06,263
158,0.05,264
161,0.05,265
154,0.08,266
94,0.03,267
173,0.06,268
109,0.04,269
66,0.05,270
134,0.04,271
184,0.09,272
149,0.09,273
163,0.05,274
103,0.03,275
146,0.06,276
93,0.03,277
89,0.07,278
106,0.04,279
133,0.07,280
221,0.11,281
127,0.04,282
183,0.08,283
138,0.05,284
91,0.03,285
191,0.08,286
189,0.08,287
119,0.06,288
162,0.07,289
105,0.04,290
91,0.03,291
146,0.08,292
162,0.07,293
116,0.07,294
155,0.07,295
185,0.07,296
164,0.06,297
117,0.04,298
155,0.07,299
190,0.1,300
121,0.05,301
206,0.08,302
104,0.04,303
153,0.05,304
88,0.05,305
165,0.05,306
105,0.08,307
130,0.05,308
149,0.09,309
166,0.07,310
188,0.06,311
137,0.06,312
116,0.05,313
117,0.05,314
135,0.07,315
157,0.05,316
111,0.05,317
134,0.05,318
181,0.06,319
165,0.05,320
169,0.07,321
105,0.03,322
148,0.07,323
165,0.06,324
112,0.03,325
113,0.07,326
221,0.09,327
161,0.06,328
166,0.06,329
148,0.05,330
127,0.08,331
163,0.09,332
151,0.06,333
