moves,time (sec),game
697,0.35,1
223,0.15,2
404,0.19,3
146,0.08,4
147,0.07,5
488,0.26,6
799,0.44,7
265,0.12,8
367,0.2,9
503,0.23,10
716,0.31,11
626,0.35,12
555,0.36,13
266,0.15,14
246,0.12,15
694,0.35,16
779,0.4,17
378,0.18,18
365,0.15,19
548,0.28,20
215,0.13,21
892,0.5,22
247,0.14,23
684,0.35,24
468,0.23,25
277,0.14,26
194,0.13,27
456,0.27,28
566,0.3,29
379,0.21,30
236,0.12,31
713,0.32,32
724,0.45,33
733,0.42,34
428,0.23,35
322,0.18,36
687,0.4,37
526,0.34,38
153,0.07,39
708,0.46,40
345,0.18,41
694,0.48,42
330,0.16,43
358,0.16,44
667,0.37,45
546,0.25,46
260,0.11,47
219,0.1,48
318,0.13,49
368,0.23,50
610,0.31,51
642,0.29,52
547,0.32,53
335,0.14,54
375,0.22,55
557,0.26,56
543,0.24,57
823,0.44,58
113,0.05,59
723,0.4,60
799,0.39,61
500,0.24,62
612,0.29,63
603,0.38,64
745,0.57,65
744,0.41,66
580,0.3,67
446,0.21,68
358,0.17,69
333,0.2,70
811,0.48,71
624,0.27,72
380,0.2,73
451,0.23,74
624,0.3,75
293,0.13,76
200,0.1,77
939,0.55,78
441,0.24,79
1135,0.73,80
637,0.34,81
478,0.24,82
466,0.2,83
214,0.11,84
616,0.34,85
675,0.32,86
923,0.48,87
600,0.32,88
752,0.38,89
812,0.43,90
550,0.29,91
525,0.29,92
525,0.34,93
363,0.21,94
654,0.35,95
219,0.11,96
473,0.24,97
417,0.21,98
355,0.18,99
443,0.2,100
589,1.57,101
909,0.56,102
594,0.28,103
527,0.26,104
658,0.3,105
552,0.26,106
655,0.45,107
560,0.26,108
304,0.16,109
252,0.12,110
318,0.18,111
428,0.2,112
930,0.47,113
649,0.36,114
516,0.27,115
815,0.51,116
767,0.35,117
329,0.2,118
564,0.25,119
504,0.27,120
496,0.25,121
437,0.21,122
130,0.05,123
219,0.09,124
155,0.07,125
139,0.07,126
269,0.15,127
331,0.16,128
271,0.12,129
260,0.13,130
348,0.15,131
570,0.31,132
602,0.31,133
619,0.54,134
280,0.16,135
785,0.53,136
503,0.22,137
