moves,time (sec),game
608,0.27,138
306,0.17,139
672,0.42,140
838,0.5,141
917,0.49,142
337,0.18,143
565,0.31,144
580,0.29,145
500,0.27,146
634,0.37,147
431,0.2,148
581,0.29,149
417,0.19,150
641,0.31,151
400,0.21,152
229,0.11,153
888,0.49,154
505,0.23,155
105,0.04,156
519,0.28,157
473,0.35,158
607,0.3,159
616,0.3,160
193,0.09,161
590,0.27,162
481,0.27,163
155,0.08,164
398,0.19,165
548,0.28,166
183,0.09,167
709,0.35,168
506,0.22,169
510,0.25,170
202,0.09,171
480,0.25,172
415,0.2,173
369,0.26,174
682,0.38,175
308,0.2,176
717,0.47,177
175,0.1,178
335,0.17,179
777,0.52,180
360,0.17,181
777,0.39,182
276,0.17,183
209,0.1,184
599,0.27,185
291,0.15,186
850,0.47,187
194,0.1,188
505,0.23,189
540,0.26,190
615,0.27,191
760,0.4,192
400,0.18,193
517,0.25,194
615,0.54,195
526,0.45,196
665,0.37,197
799,0.46,198
166,0.07,199
332,0.16,200
1071,0.65,201
521,0.29,202
908,0.55,203
662,0.39,204
709,0.29,205
178,0.09,206
377,0.16,207
284,0.15,208
592,0.26,209
810,0.42,210
548,0.28,211
575,0.31,212
538,0.32,213
286,0.15,214
470,0.24,215
638,1.59,216
575,0.29,217
374,0.19,218
583,0.29,219
193,0.1,220
869,0.63,221
392,0.19,222
255,0.13,223
600,0.3,224
396,0.36,225
478,0.23,226
380,0.19,227
219,0.1,228
231,0.1,229
739,0.42,230
448,0.19,231
374,0.21,232
894,0.57,233
504,0.43,234
515,0.24,235
652,0.31,236
470,0.22,237
770,0.4,238
417,0.21,239
530,0.22,240
468,0.22,241
720,0.35,242
344,0.16,243
527,0.25,244
987,0.55,245
620,0.32,246
297,0.15,247
779,0.57,248
570,0.3,249
792,0.72,250
391,0.19,251
795,0.42,252
566,0.3,253
364,0.2,254
646,0.27,255
678,0.34,256
457,0.22,257
495,0.24,258
400,0.22,259
276,0.12,260
606,0.31,261
867,0.61,262
891,0.71,263
399,0.23,264
702,0.41,265
134,0.05,266
569,0.31,267
340,0.2,268
457,0.19,269
470,0.23,270
377,0.18,271
121,0.06,272
498,0.24,273
279,0.15,274
445,0.2,275
403,0.19,276
571,0.27,277
656,0.32,278
604,0.56,279
431,0.21,280
1163,0.69,281
285,0.14,282
520,0.33,283
139,0.06,284
574,0.29,285
543,0.31,286
436,0.22,287
666,0.35,288
717,0.34,289
331,0.15,290
740,0.31,291
140,0.08,292
886,0.47,293
323,0.18,294
203,0.1,295
231,0.12,296
161,0.08,297
761,0.38,298
240,0.13,299
874,0.47,300
822,0.42,301
196,0.08,302
194,0.08,303
622,0.28,304
417,0.26,305
338,0.19,306
929,0.56,307
134,0.06,308
653,0.36,309
661,0.37,310
589,0.34,311
1391,0.85,312
466,0.32,313
305,0.16,314
397,0.24,315
389,0.18,316
674,0.43,317
186,0.11,318
345,0.16,319
242,0.13,320
374,0.19,321
608,0.31,322
590,0.37,323
437,0.39,324
783,1.67,325
689,0.35,326
821,0.4,327
503,0.28,328
521,0.33,329
733,0.56,330
755,0.39,331
395,0.17,332
805,0.36,333
477,0.23,334
440,0.21,335
335,0.16,336
630,0.33,337
673,0.35,338
532,0.25,339
791,0.38,340
448,0.2,341
526,0.24,342
444,0.22,343
144,0.08,344
752,0.38,345
619,0.46,346
538,0.23,347
577,0.37,348
711,0.53,349
697,0.35,350
635,0.28,351
648,0.29,352
629,0.28,353
139,0.06,354
512,0.27,355
731,0.36,356
288,0.14,357
469,0.22,358
658,0.38,359
692,0.48,360
836,0.46,361
523,0.24,362
360,0.18,363
297,0.13,364
607,0.31,365
577,0.34,366
249,0.1,367
245,0.12,368
194,0.11,369
757,0.35,370
612,0.27,371
805,0.46,372
862,0.46,373
319,0.16,374
356,0.18,375
581,0.31,376
489,0.29,377
764,0.45,378
313,0.13,379
174,0.08,380
620,0.29,381
887,0.47,382
928,0.51,383
251,0.12,384
458,0.25,385
588,0.32,386
388,0.19,387
572,0.31,388
429,0.2,389
385,0.19,390
896,0.45,391
767,0.58,392
487,0.25,393
335,0.16,394
334,0.17,395
559,0.3,396
618,0.3,397
277,0.13,398
730,0.54,399
522,0.28,400
358,0.22,401
620,0.32,402
675,0.34,403
673,0.29,404
540,0.29,405
208,0.1,406
418,0.19,407
455,0.24,408
409,0.23,409
451,0.24,410
261,0.13,411
1008,0.59,412
279,0.18,413
291,0.15,414
491,0.28,415
662,0.43,416
300,0.14,417
305,0.19,418
271,0.14,419
225,0.13,420
922,0.51,421
459,0.23,422
1000,0.62,423
246,0.12,424
609,0.3,425
625,0.45,426
338,0.16,427
871,0.46,428
566,0.25,429
785,0.35,430
368,0.17,431
591,0.35,432
383,0.2,433
677,1.66,434
258,0.11,435
372,0.17,436
600,0.3,437
460,0.24,438
506,0.31,439
357,0.18,440
908,0.58,441
277,0.17,442
372,0.21,443
173,0.08,444
522,0.31,445
600,0.29,446
504,0.28,447
692,0.49,448
436,0.33,449
321,0.16,450
747,0.48,451
678,0.37,452
807,0.39,453
461,0.47,454
438,0.21,455
218,0.11,456
538,0.31,457
670,0.31,458
644,0.26,459
382,0.18,460
628,0.28,461
907,0.48,462
916,0.42,463
401,0.21,464
603,0.29,465
786,0.45,466
704,0.36,467
860,0.53,468
984,0.56,469
999,0.64,470
445,0.27,471
308,0.13,472
432,0.2,473
739,0.4,474
714,0.34,475
520,0.25,476
635,0.3,477
730,0.38,478
459,0.23,479
569,0.38,480
562,0.24,481
158,0.07,482
434,0.24,483
261,0.14,484
816,0.48,485
593,0.34,486
694,0.52,487
611,0.3,488
862,0.47,489
304,0.21,490
814,0.48,491
168,0.08,492
631,0.32,493
350,0.67,494
408,0.22,495
578,0.44,496
693,0.34,497
225,0.11,498
333,0.17,499
600,0.26,500
