turns,time,total_time
7360,3.52,5.07
6467,0.22,5.31
3080,5.71,11.04
1418,11.89,22.93
9085,2.1,2.11
6836,1.89,4.01
5630,6.11,10.14
3070,1.08,11.25
2309,15.07,26.33
1011,18.41,44.75
6845,7.26,7.27
3038,0.83,8.11
2136,6.33,14.45
1882,15.64,30.09
3878,0.62,0.62
3430,1.22,1.85
2832,2.9,4.77
6260,1.99,2
6094,3.81,5.82
3513,0.63,6.45
1849,0.46,6.93
9685,0.1,0.1
4195,1.76,1.88
3762,14.05,15.93
3031,0.03,15.98
8329,0.31,0.31
8105,5.06,5.39
7823,0.42,5.83
3501,5.78,11.62
3283,0.04,11.67
3098,9.4,21.07
1723,18.66,39.74
7126,3.61,3.61
6158,12.12,15.75
4439,1.99,17.75
2089,0.18,17.94
6914,0.49,0.5
2797,6.34,6.84
2135,12.74,19.59
1660,17.4,36.99
5877,2.36,2.36
3147,11.79,14.16
2665,8.15,22.32
2005,11.41,33.74
1882,29.78,63.53
1505,26,89.53
6618,0.28,0.28
4048,5.14,5.44
2362,6.67,12.11
9142,1.61,1.61
2868,2.61,4.23
2281,27.54,31.78
1597,16.72,48.51
5287,6.27,6.28
4146,9.17,15.46
2965,18.19,33.67
2723,20.54,54.22
5782,2.26,2.26
4845,2.19,4.46
3754,4.93,9.4
4761,14.75,14.75
4656,20.38,35.15
4246,4.55,39.71
4148,13.18,52.9
3694,1.41,54.32
1046,4.22,58.54
6930,0.32,0.32
4756,1.47,1.8
2776,0.73,2.54
2249,3.49,6.04
1989,22.96,29
1859,14.29,43.3
8420,8.18,8.18
2000,1.04,9.24
9334,1.37,1.37
5127,0.06,1.45
4911,3.89,5.35
4040,2.04,7.41
3949,6.68,14.1
3110,0.71,14.83
6490,0.91,0.92
3836,0.42,1.35
3750,9.39,10.75
3587,13.22,23.99
2319,8.91,32.91
1843,1.13,34.04
5170,1.8,1.8
4818,1.17,2.98
3283,18.34,21.32
3224,6.83,28.16
7249,0.08,0.08
6500,8.39,8.49
3836,2.08,10.58
1829,6.36,16.95
7428,4.47,4.47
3069,3.04,7.52
3984,0.05,0.05
3548,20.77,20.85
2790,8.75,29.61
2127,19.01,48.63
1983,21.57,70.21
1591,13.95,84.16
5318,8.22,8.22
5160,7.54,15.78
4961,25.11,40.89
4053,9.61,50.52
3217,9.8,60.33
1928,3.7,64.03
4093,5.02,5.02
3916,4.34,9.36
2975,14.05,23.43
2838,11.82,35.25
742,8.36,43.62
2672,2.61,2.61
2549,13.23,15.85
2231,4.65,20.51
4903,0.26,0.26
3962,11.72,12
3308,2.05,14.06
2841,10.07,24.14
9926,2.29,2.29
9498,1.16,3.46
7180,0.08,3.55
3068,1.91,5.47
2941,19.99,25.48
2661,2.88,28.37
1845,1.4,29.77
7281,2.84,2.84
1996,1.4,4.25
6801,0.82,0.82
2906,0.7,1.53
2429,29.94,31.48
2395,15.23,46.72
6966,1.46,1.46
5903,3.78,5.25
5315,0.25,5.51
5095,0.44,5.96
3823,1.87,7.85
3770,1.16,9.01
2586,14.15,23.18
1489,27.23,50.41
6339,1.35,1.35
5485,16.29,17.65
4443,0.84,18.51
3980,8.31,26.83
3104,6.98,33.82
1867,12.02,45.84
8889,0.09,0.09
7442,1.65,1.76
3506,2.43,4.21
1894,11,15.23
5350,0.93,0.93
4497,1.47,2.41
1482,0.59,3.01
8458,2.05,2.05
7418,1.42,3.49
4886,5.56,9.06
4209,10.68,19.75
3350,2.36,22.12
2464,26.35,48.49
1471,8.54,57.04
1351,8.26,65.31
9949,2.46,2.47
8077,4.47,6.96
7237,0.43,7.4
6806,4.8,12.21
5598,0.83,13.06
5054,4.76,17.84
4215,2.25,20.11
1747,20.73,40.86
1478,21.02,61.88
7406,1.06,1.06
2920,0.03,1.11
2466,4.25,5.37
2092,14.94,20.31
6028,1.27,1.27
5873,1.24,2.53
5281,1.32,3.86
5054,1.52,5.4
3884,0.87,6.28
5186,0.26,0.26
4521,0.7,0.98
3950,5.25,6.26
3708,14.35,20.62
3233,16.4,37.03
3956,2.24,2.24
3744,13.03,15.28
2909,18.8,34.09
2861,2.44,36.54
2858,15.88,52.43
2758,2.66,55.09
9410,2.84,2.84
2209,0.32,3.18
5954,1.62,1.62
4695,1.86,3.48
3282,25.88,29.37
3013,9.27,38.65
2206,11.74,50.4
5155,2.22,2.22
3822,2.98,5.21
3296,11.27,16.49
1977,10.31,26.81
1967,4.9,31.72
1857,6.82,38.55
1638,14.71,53.27
1373,14.61,67.89
7087,4.98,4.98
2780,4.77,9.78
2523,1,10.78
1666,18.92,29.69
7473,0.75,0.75
6159,2.36,3.13
5962,12.59,15.73
5305,0.66,16.41
4387,2.95,19.37
2548,8.11,27.49
1766,3.37,30.87
8972,6.31,6.32
7128,0.81,7.14
2484,2.71,9.86
1636,21.47,31.35
8685,3.24,3.24
6070,0.64,3.89
5934,3.02,6.93
5685,3.28,10.22
2658,3.59,13.82
4097,6.75,6.76
2760,19.27,26.03
1691,28.54,54.57
6164,0.06,0.06
1679,1.67,1.75
7788,0.72,0.72
6914,1.98,2.72
6049,13.26,15.99
5555,2.34,18.33
3569,5.74,24.09
8752,2.17,2.17
4211,0.96,3.15
2504,1.01,4.17
7014,5.94,5.94
5420,1.19,7.14
5301,4.55,11.7
5053,1.45,13.16
2979,0.31,13.48
2561,26.6,40.09
2040,12.75,52.84
2017,9.78,62.62
1845,26.21,88.84
6274,3.61,3.61
2872,7.79,11.42
3805,3.71,3.71
3101,7.94,11.66
6585,1.31,1.32
5609,3.99,5.32
4861,15.02,20.35
4079,1.02,21.38
2485,23.4,44.8
9983,0.22,0.22
8103,0.49,0.73
3116,4.95,5.7
1808,9.57,15.28
5462,0.17,0.17
4040,7.11,7.29
1988,6.04,13.34
8979,3.53,3.53
5052,3.02,6.58
4787,0.68,7.27
2246,2.81,10.09
6109,0.27,0.27
5689,7.94,8.23
4178,5.54,13.79
3653,14.93,28.73
3569,2.22,30.96
2679,7.95,38.92
2636,10.14,49.07
2045,26.28,75.36
9857,0.83,0.83
8934,0.19,1.04
7424,2.26,3.32
4732,7.62,10.96
2176,3.56,14.53
7087,5.25,5.25
4967,1.32,6.58
3501,2.84,9.43
8440,2.96,2.96
3924,1.55,4.53
3355,0.95,5.49
3178,4.98,10.49
2937,6.49,16.98
1939,5.6,22.59
9185,4.58,4.58
6086,1.11,5.7
3977,3.65,9.37
9062,0.42,0.43
5527,0.26,0.7
4517,1.34,2.05
7314,3.62,3.62
4678,0.05,3.7
3223,0.55,4.26
1444,19.12,23.39
890,13.25,36.65
7666,1.59,1.59
2714,1.08,2.69
2675,16.58,19.28
2448,23.96,43.24
9161,10.95,10.95
8734,5,15.96
8142,5.25,21.22
4935,2.68,23.92
4023,17.98,41.91
4009,9.07,50.99
2004,10.07,61.07
6920,3.44,3.44
4490,2.25,5.71
3549,4.54,10.26
1993,6.12,16.39
5954,0.27,0.28
5022,0.44,0.73
4306,12.11,12.85
3649,1.48,14.34
3482,0.3,14.65
2536,10.29,24.95
2332,20.45,45.41
9728,2.91,2.91
3019,4.32,7.25
2194,19.8,27.06
2144,4.84,31.9
1384,17.19,49.1
6942,2.1,2.1
6559,5.44,7.56
2849,0.9,8.47
1778,0.89,9.37
8175,0.31,0.31
3687,3.17,3.5
3326,10.84,14.34
2792,13.65,28
