turns,time,total_time
7312,2.54,2.54
2508,1.55,4.12
2094,22.43,26.56
1917,21.29,47.85
9011,0.33,0.33
5324,0.77,1.15
3038,8.9,10.07
2864,7.3,17.38
2793,21.59,39
2649,7.78,46.79
2025,15.9,62.69
9453,0.42,0.42
5929,1.13,1.57
5191,3.69,5.27
4539,6.9,12.18
3810,9.06,21.26
2386,16.66,37.93
9446,8.4,8.4
7521,1.18,9.6
7494,0.09,9.71
7150,1.81,11.53
4887,1.21,12.76
4367,2.01,14.78
3260,23.68,38.46
1890,7.37,45.84
5364,8.17,8.17
3577,16.5,24.68
3263,20.72,45.42
2572,13.22,58.66
9957,5.79,5.79
4744,3.95,9.76
4461,0.11,9.88
3582,8.08,17.97
2718,12.42,30.4
2533,18.08,48.49
2361,15.65,64.15
2147,25.68,89.84
8310,1.18,1.18
6732,2.91,4.11
5206,0.59,4.71
2221,11.96,16.7
8384,0.3,0.3
2414,0.49,0.81
1969,2.73,3.54
3513,6.1,6.1
2480,2.75,8.86
2221,25.07,33.94
1616,9.53,43.48
5651,0.06,0.07
3902,0.68,0.76
3227,5.25,6.02
2965,13.83,19.87
2877,2.34,22.21
2450,24.58,46.8
2307,15.98,62.79
7486,0.99,0.99
4142,4.02,5.02
2441,9.68,14.71
9760,5.84,5.84
9413,1.4,7.25
5104,0.47,7.74
4469,8.94,16.7
3451,3.23,19.94
8822,3.14,3.14
4128,0.23,3.39
3192,2.56,5.96
2937,11.38,17.34
8148,0.2,0.2
4849,6.01,6.23
4767,15.27,21.51
4208,21.19,42.71
4074,19.01,61.73
3739,19.3,81.05
2790,3.99,85.05
2547,15.3,100.36
8251,0.41,0.41
7512,4.47,4.9
5002,2.65,7.56
4760,17.98,25.55
2147,6.7,32.26
1726,3.43,35.7
1529,27.97,63.68
9929,1.56,1.56
7656,2.6,4.18
4812,1.66,5.86
2190,8.16,14.03
1809,9.92,23.96
1653,4.82,28.78
5949,3.63,3.63
5091,0.98,4.63
3853,1.36,6.01
3142,5.33,11.35
2605,4.01,15.37
2600,12.05,27.42
2353,24.73,52.16
9940,1.78,1.78
4158,0.48,2.28
3934,0.72,3.01
4834,1.02,1.02
3859,9.03,10.06
1758,3.62,13.69
7252,0.19,0.19
4483,4.68,4.88
3932,0.68,5.57
1994,0.7,6.28
9917,3.81,3.81
4430,1.23,5.05
3695,2.14,7.2
3158,7.2,14.41
2890,4.61,19.03
2420,12.5,31.54
2245,10.03,41.58
2044,7.28,48.86
9719,4.42,4.43
7732,1.03,5.49
4445,2.95,8.45
4345,2.14,10.6
3531,5.89,16.51
3239,6.69,23.21
5357,0.73,0.73
3067,2.75,3.51
2903,5.73,9.24
2718,28.48,37.73
2213,11.24,49
1638,20.97,69.98
6539,1.04,1.04
4927,6.07,7.13
2119,2.37,9.52
1553,0.97,10.49
4057,0.26,0.26
3296,5.43,5.73
3120,22.26,27.99
3089,24.2,52.21
2563,6.04,58.26
1921,1.41,59.68
5114,3.4,3.4
4920,12.19,15.61
4599,5.57,21.2
3948,0.79,22
2764,1.04,23.06
2723,7.93,30.99
6676,2,2
6066,2.78,4.81
3315,1.28,6.11
2858,7.26,13.38
2674,21.69,35.08
2626,3.14,38.23
7190,0.08,0.08
4214,0.85,0.97
3487,8.6,9.58
2255,7.58,17.17
2004,11.5,28.69
7840,1.53,1.53
