turns,time,total_time
35930,5.81,5.82
19462,10.04,15.91
11099,7.69,23.64
9568,5.74,29.4
9516,19.33,48.76
5806,7.39,56.16
48951,2.98,2.98
19040,0.88,3.93
13242,11.95,15.91
6894,7.72,23.65
6794,2.72,26.39
2852,21.46,47.87
41739,1.15,1.15
17920,3.7,4.92
15882,25.29,30.25
7255,1.34,31.62
27786,5.8,5.81
25623,8.02,13.87
16722,2.59,16.5
8608,4.9,21.44
4661,1.93,23.38
3135,17.55,40.94
43299,7.41,7.41
41172,1.02,8.5
24823,6.66,15.22
15677,4.59,19.86
8446,6.49,26.38
5446,2.41,28.81
3458,1.51,30.33
3139,12.36,42.7
41298,5.51,5.52
22413,1.26,6.84
7914,6.81,13.68
5335,22.45,36.15
4488,19.97,56.13
48085,5.01,5.02
29319,0.37,5.45
28694,6.38,11.88
18728,3.07,15
18096,6.41,21.45
7300,9.44,30.92
6688,23.69,54.63
14355,5.19,5.19
13828,18.3,23.52
9144,16.29,39.84
6743,0.34,40.2
5407,21.61,61.82
32938,1,1
29110,4.96,6.04
15381,6.83,12.93
10646,14.63,27.58
31587,8.11,8.11
14105,8.38,16.56
8511,1.21,17.79
8034,14.45,32.27
7619,5.79,38.08
46033,4.23,4.24
20429,0.8,5.12
4882,0.87,6.02
11958,2.79,2.79
8866,19.73,22.54
6136,5.71,28.27
5525,12.17,40.46
34837,1.02,1.02
9127,11.98,13.05
8752,9.29,22.36
7700,2.24,24.62
28189,4.75,4.76
21399,8.04,12.84
13296,25.05,37.91
7895,11.62,49.55
5218,1.73,51.3
23065,2.66,2.66
12938,14.65,17.35
11407,16.43,33.8
10479,17.04,50.85
8664,18.35,69.22
38569,2.31,2.31
35328,1.81,4.18
7859,1.46,5.69
4672,5.31,11.03
3315,12.89,23.94
19667,0.23,0.24
10352,16.1,16.37
8650,21.11,37.51
5006,14.06,51.58
3481,0.64,52.23
3162,10.74,62.99
27389,0.89,0.89
43543,2.99,2.99
27534,1.5,4.57
12275,2.23,6.84
9484,9.64,16.5
6685,0.09,16.61
24889,4.29,4.29
21152,9.8,14.15
12835,11.16,25.35
9544,11.52,36.9
6294,19.29,56.21
4661,12.03,68.26
21896,0.27,0.27
13869,8.14,8.45
13510,2.16,10.63
9865,2.75,13.42
8331,19.28,32.72
5139,9.51,42.25
4100,2.18,44.44
19198,3.31,3.31
6333,3.43,6.77
6270,1.16,7.95
42370,10.15,10.15
31252,4.14,14.36
13202,4.49,18.9
6950,2.73,21.66
27106,6.67,6.67
21058,12.56,19.28
12792,6.87,26.18
9934,4.71,30.92
5877,11.64,42.58
4987,14.68,57.28
33744,1.08,1.08
17648,27.24,28.39
12157,27.98,56.4
10919,4.36,60.81
4334,4.01,64.85
16025,1.5,1.51
6332,3.38,4.91
4833,8.94,13.87
4265,0.9,14.78
47977,3.16,3.16
15256,7.51,10.75
10654,0.94,11.71
6990,7.85,19.58
4956,9.46,29.08
9567,11.08,11.09
7742,10.41,21.52
37998,6.76,6.76
29626,6.9,13.72
3884,9.35,23.13
29549,5.4,5.4
26605,5.68,11.12
20429,3.91,15.08
17912,13.38,28.49
15319,11.25,39.78
12565,22.04,61.85
8844,11.25,73.12
8525,16.88,90.01
5059,2.07,92.1
37001,4.14,4.15
29735,6.56,10.76
3337,8.06,18.88
7120,4.55,4.56
6237,24.55,29.13
4904,8.71,37.85
3187,26.7,64.57
33132,7.12,7.13
16525,3.23,10.41
15071,7.23,17.67
7774,5.68,5.69
37292,2.28,2.28
36680,26.02,28.35
22296,14.34,42.75
13697,7.36,50.14
11071,0.48,50.66
9072,0.57,51.25
8261,5.4,56.67
7737,23.34,80.03
45065,2.48,2.48
43658,11.84,14.39
27757,1.96,16.42
26765,7.07,23.54
5004,7.48,31.06
4957,7.08,38.16
45640,1.08,1.09
29059,23.96,25.12
25979,1.07,26.25
21098,3.68,29.97
9397,1.56,31.57
6029,7.49,39.08
3138,6.26,45.35
2785,8.61,53.97
32941,1.09,1.09
27810,9.97,11.12
8333,4.98,16.16
5124,29.59,45.76
41785,12.02,12.02
35948,0.99,13.07
