turns,time,total_time
568,16.84,66.14
294,27.69,93.83
4400,1.23,1.23
4092,0.1,1.34
4075,0.07,1.41
3729,1.85,3.27
3327,0.14,3.42
2999,1.54,4.96
1849,2.08,7.05
1220,2.05,9.1
1015,3.61,12.71
715,1.06,13.77
697,7.68,21.46
683,9.57,31.03
540,28.43,59.47
9706,0.17,0.17
4446,2.02,2.2
3008,0.75,2.96
2947,3.01,5.98
416,5.61,11.6
415,39.21,50.81
358,4.61,55.42
334,4.15,59.58
7934,0.1,0.1
2912,0.11,0.23
2804,0.16,0.4
1367,4.14,4.54
887,6.12,10.66
695,8.89,19.56
597,15.12,34.68
323,2.1,36.79
5027,0.04,0.04
1528,1.76,1.81
999,4.1,5.91
351,5.95,11.87
5735,0.14,0.14
3515,3.96,4.11
3337,4.08,8.2
3283,0.61,8.81
2193,0.67,9.49
929,0.43,9.93
834,3.73,13.66
739,7.71,21.37
678,19.87,41.25
460,7.32,48.57
428,49.94,98.51
280,1.76,100.28
6501,0.85,0.85
5909,1.31,2.17
904,1.79,3.97
659,16.56,20.53
593,6.81,27.35
410,6.96,34.33
381,53.28,87.62
325,21.71,109.33
2467,0.17,0.17
944,4.21,4.38
804,9.56,13.95
562,1.74,15.69
411,12.65,28.34
9691,0.09,0.09
4192,1.43,1.54
4064,0.45,1.99
3128,0.31,2.3
1797,2.2,4.51
1404,1.56,6.07
1160,5.45,11.53
1001,1.15,12.68
539,2.99,15.68
465,7.28,22.96
423,0.05,23.01
1540,0.23,0.24
1536,4.35,4.59
773,0.86,5.45
498,14.34,19.8
363,30.92,50.72
2696,1.67,1.67
590,3.4,5.08
490,29.94,35.02
387,5.22,40.25
8227,0.13,0.13
7042,0.11,0.25
5379,0.15,0.41
1213,0.49,0.9
935,0.53,1.44
580,7.23,8.67
559,5.72,14.39
471,18.75,33.14
466,9.78,42.92
300,7.04,49.97
4805,0.55,0.56
3300,1.03,1.6
1354,0.26,1.87
1289,1.46,3.34
1136,6.12,9.46
1084,1.07,10.53
740,7.81,18.34
502,16.17,34.52
408,28.05,62.57
242,21.77,84.35
7941,0.32,0.32
4885,0.03,0.36
3216,1.03,1.4
1182,2.35,3.75
1172,4.45,8.21
907,18.11,26.33
829,9.92,36.25
634,13.75,50.01
513,19.77,69.78
485,31.78,101.56
464,28.33,129.89
419,2.5,132.39
379,24.55,156.95
305,35.05,192.01
1460,0.23,0.23
753,12.09,12.33
594,9.12,21.45
575,0.88,22.34
282,50.55,72.89
8874,0.99,0.99
4087,0.83,1.83
3586,0.5,2.34
2231,3.38,5.73
2205,2.35,8.08
1936,0.22,8.31
943,2.44,10.76
571,6.01,16.77
462,12.93,29.7
393,36.24,65.95
6151,0.08,0.09
3101,1.42,1.52
2923,0.94,2.46
1161,1,3.47
1104,5.94,9.41
1054,6.47,15.89
938,5.99,21.89
423,4.76,26.65
373,20.31,46.97
9245,0.87,0.87
6030,0.93,1.81
5978,0.19,2.01
3414,1.44,3.46
2888,0.57,4.04
1540,0.31,4.36
658,7.52,11.88
446,18.62,30.5
371,1.45,31.96
4626,0.26,0.26
2951,2,2.27
2484,0.55,2.82
1120,1.17,4
1109,2.87,6.87
1060,0.06,6.93
966,4.84,11.77
672,3.11,14.89
416,10.95,25.85
5145,0.9,0.91
4656,1.8,2.71
3152,0.35,3.06
3072,0.46,3.53
1442,0.97,4.5
1163,0.78,5.28
253,1.23,6.52
4717,1.32,1.32
3448,1.32,2.65
2978,0.45,3.11
2888,1.35,4.47
2354,3.82,8.29
1702,1.62,9.92
741,1.08,11
685,2.28,13.29
609,39.19,52.49
518,17.61,70.1
495,42.18,112.29
459,20.75,133.05
4290,4.11,4.11
1165,1.43,5.54
1038,3.75,9.3
540,3.4,12.7
489,36.53,49.23
379,6.34,55.57
2286,0.59,0.59
1269,2.72,3.32
795,11.58,14.91
400,2.56,17.47
7316,0.15,0.15
1434,0.85,1.01
954,0.43,1.45
796,0.16,1.61
579,38.31,39.92
387,9.68,49.61
4755,0.85,0.85
4514,0.2,1.05
1566,1.29,2.36
597,0.97,3.33
493,29.42,32.76
450,31.29,64.05
438,32.92,96.97
332,25.09,122.07
251,28.32,150.39
205,47.16,197.55
4582,0.1,0.11
1004,1.48,1.59
828,0.92,2.51
748,8.65,11.17
685,4.19,15.36
337,11.66,27.03
332,3.94,30.97
6149,0.9,0.9
5778,0.09,1
4229,0.03,1.05
1694,0.19,1.25
1571,2.07,3.33
1222,3.75,7.08
1161,6.69,13.77
410,0.01,13.79
314,4.04,17.83
298,56.48,74.31
3061,0.25,0.25
1898,0.39,0.65
1647,2.98,3.63
1103,5.53,9.17
873,5.03,14.21
750,2.32,16.53
750,1.29,17.82
620,4.21,22.04
609,11.45,33.51
325,18.86,52.37
187,10.16,62.54
9684,0.54,0.54
9276,0.21,0.76
8483,0.64,1.41
6559,0.05,1.47
3515,1.54,3.02
1909,0.74,3.76
1074,0.58,4.35
788,1.03,5.39
581,0.28,5.68
551,5.38,11.06
475,8.5,19.56
328,12.86,32.42
3463,0.11,0.11
3218,0.39,0.5
1926,0.54,1.05
1413,1.27,2.32
1209,0.38,2.7
1001,1.52,4.23
840,6.32,10.55
533,20.15,30.71
486,6.59,37.3
457,26.55,63.86
426,28.18,92.04
346,22.68,114.72
7335,0.36,0.36
5321,0.26,0.64
4921,1.77,2.42
1810,0.89,3.32
1064,3.14,6.46
980,8.47,14.94
861,5.64,20.58
703,15.82,36.4
451,0.56,36.96
451,6.84,43.81
4776,1.66,1.66
1261,1.32,2.99
1065,1.2,4.2
954,1.32,5.52
687,23.41,28.94
1796,0.17,0.17
869,1.39,1.56
408,4.83,6.39
406,49.02,55.42
8300,0.71,0.71
7572,0.85,1.58
4304,2.43,4.02
2673,1.87,5.9
1863,0.65,6.56
1848,0.25,6.81
1754,2.12,8.93
582,7.67,16.61
556,2.98,19.6
553,7.93,27.53
549,3.96,31.49
254,16.12,47.61
8928,3.2,3.2
6474,0.52,3.74
5426,1.74,5.49
1976,0.27,5.77
1251,0.82,6.59
1183,9.9,16.5
664,1.68,18.18
626,30.06,48.24
434,46.16,94.4
1251,0.09,0.09
640,3.6,3.69
346,11.61,15.3
339,55.94,71.24
8845,0.06,0.07
4234,0.43,0.5
2436,1.7,2.21
1682,1.26,3.47
856,1.58,5.05
767,14.15,19.21
637,4.32,23.53
2042,1.71,1.71
1698,0.44,2.16
919,2.49,4.65
603,1.77,6.43
224,35.19,41.62
6974,0.28,0.29
4050,1.08,1.37
2880,0.39,1.76
931,1.19,2.96
917,11.99,14.95
428,0.36,15.32
341,52.31,67.64
9671,0.38,0.38
8469,0.29,0.69
2197,0.08,0.78
2132,2.03,2.82
1218,0.37,3.19
766,8,11.2
554,6.86,18.07
482,35.64,53.71
269,1,54.71
7965,0.08,0.08
6389,0.88,0.98
6116,0.22,1.2
2647,0.46,1.67
1376,2.67,4.34
1031,0.67,5.01
616,3.85,8.87
502,37.09,45.96
477,14,59.97
193,44.37,104.34
8303,0.13,0.14
6738,3.36,3.51
6537,1.11,4.63
5275,0.18,4.81
3866,2.92,7.74
2835,0.11,7.86
2358,4.79,12.65
2094,4.83,17.48
1044,5.15,22.64
867,3.71,26.35
511,2.71,29.06
335,39.02,68.08
331,56.74,124.82
6284,0.79,0.8
2645,1.75,2.55
2152,1.35,3.91
2020,2.43,6.35
1561,0.17,6.52
1205,2.25,8.77
1156,0.3,9.08
654,4.08,13.16
625,39.92,53.09
449,2.91,56
394,3.81,59.81
7628,1.05,1.05
7165,0.29,1.36
1132,1.6,2.97
1014,5.16,8.13
953,0.05,8.18
641,7.03,15.22
633,38.94,54.16
581,2.14,56.31
398,6.89,63.21
271,1.61,64.82
180,50.83,115.65
6629,0.13,0.13
3734,1.1,1.25
2871,0.05,1.3
2460,0.11,1.42
611,3.6,5.02
441,5,10.02
431,16.64,26.67
305,57.05,83.72
4943,0.39,0.4
824,0.32,0.72
469,18.44,19.17
390,6.3,25.47
373,32.31,57.79
3347,0.1,0.1
1645,0.09,0.2
682,5.02,5.23
439,7.16,12.39
7781,0.2,0.2
3989,0.84,1.05
1767,1.71,2.77
909,0.48,3.26
746,7.52,10.78
491,5.2,15.98
409,22.05,38.04
390,48.6,86.64
288,14.33,100.97
6444,0.26,0.26
4227,1.22,1.49
795,0.88,2.38
681,2.23,4.61
587,8.06,12.67
541,1.6,14.28
507,4.44,18.72
279,19.79,38.52
207,43.55,82.07
675,0.85,0.85
543,6.35,7.21
9081,0.78,0.78
5904,0.25,1.04
4610,0.12,1.17
4335,0.65,1.83
3836,0.36,2.2
2627,1.96,4.16
2213,4.27,8.43
1594,10.15,18.59
1480,0.06,18.65
993,3.99,22.65
885,20.71,43.37
453,3.16,46.53
7739,1.52,1.52
2428,2.03,3.57
1162,1.56,5.13
518,1.12,6.25
462,35.97,42.22
8765,1.15,1.15
7941,1.38,2.54
5770,0.64,3.19
1938,1.22,4.41
1194,6.61,11.03
592,0.07,11.11
592,16.93,28.04
340,13.25,41.3
4158,0.1,0.11
1716,1.41,1.52
1703,0.38,1.9
1561,1.82,3.72
613,7.03,10.76
394,0.95,11.71
302,40.4,52.12
3250,0.46,0.47
2922,3.99,4.47
1078,1.59,6.06
596,7.89,13.95
520,10.89,24.85
497,10.55,35.4
5973,0.22,0.22
