turns,time,total_time
17823,2.73,2.74
11164,7.68,10.45
4761,21.08,31.56
49937,1.27,1.28
49407,5.51,6.86
22152,0.27,7.21
3200,8.35,15.59
2087,25.22,40.82
46165,9.4,9.4
5248,0.63,10.11
2601,14.04,24.16
42183,4.24,4.25
29686,1.45,5.77
18230,0.23,6.05
6912,8.57,14.66
5195,0.76,15.44
3816,21.75,37.2
2984,13.46,50.67
1577,7.34,58.02
35010,0.44,0.44
16016,2.84,3.33
12878,25.72,29.08
9873,5.48,34.58
8496,0.83,35.43
1144,1.35,36.8
7469,1.32,1.33
4684,6.03,7.37
1362,10.68,18.06
1221,9.02,27.09
962,20.19,47.28
1657,0.03,0.03
40666,3.49,3.5
40348,1.44,5
9610,10.05,15.11
22608,3.86,3.86
17626,2.69,6.58
9573,0.32,6.93
8961,3.69,10.65
7023,13.93,24.61
6005,3.74,28.37
4609,8.47,36.87
3722,15.84,52.72
1433,5.22,57.96
33442,7.42,7.43
15356,0.98,8.47
13085,3.01,11.51
11028,16.77,28.31
3151,8.19,36.53
2421,4.04,40.58
48551,1.76,1.76
41576,5.63,7.47
32534,2.88,10.41
30693,0.35,10.82
12585,5.7,16.59
3786,2.73,19.35
14611,0.81,0.81
11417,1.07,1.92
4883,4.53,6.49
1978,0.75,7.24
1738,21.08,28.34
45812,0.52,0.52
38853,4.21,4.8
36310,1.85,6.72
26854,5.88,12.65
19111,0.54,13.23
18072,3.33,16.6
9957,9.48,26.12
9134,2.68,28.84
2004,6.78,35.64
1345,10.27,45.93
14627,1.98,1.98
10882,1.59,3.59
6491,19.58,23.19
2911,5.56,28.78
2247,8.67,37.46
1671,12.91,50.4
22095,3.39,3.4
15205,3.02,6.45
11858,2.54,9.02
7991,3.33,12.37
6827,5.67,18.05
3117,1.57,19.63
2443,18.09,37.74
2044,7.84,45.58
6991,1.99,1.99
6754,13.32,15.32
4979,0.26,15.6
4334,9.25,24.86
1842,13.64,38.51
42212,4.18,4.18
26008,1.87,6.11
25698,10.5,16.66
11623,1.12,17.81
6049,4.41,22.25
47899,1.26,1.26
26813,2.78,4.11
14938,3.61,7.77
13065,7.63,15.43
4675,0.58,16.04
3752,0.6,16.65
3300,19.85,36.51
2970,20.76,57.28
2277,5.1,62.39
1838,21.11,83.51
29930,0.95,0.95
24208,1.81,2.8
21016,3.15,5.99
17814,5.77,11.81
7704,1.03,12.87
7095,0.83,13.71
3498,12.78,26.51
3402,7.4,33.91
1788,20,53.92
1058,2.95,56.89
42545,3.5,3.5
11063,2.67,6.24
8489,1.26,7.52
5202,24.67,32.21
4732,5.74,37.96
1222,1.7,39.68
21996,2.03,2.04
12146,0.15,2.23
1593,0.35,2.59
1089,3.25,5.85
49313,1.85,1.85
46968,2.5,4.43
29815,4.34,8.84
22939,5.27,14.15
6115,5.7,19.89
4799,2.18,22.1
4230,20.68,42.81
29414,0.96,0.97
28534,0.37,1.39
25884,1.81,3.25
22350,0.64,3.93
8821,3.73,7.7
4199,3.76,11.48
41180,0.51,0.52
28454,0.4,0.98
7307,0.5,1.53
5800,6.4,7.94
3462,14.34,22.3
10661,1.36,1.37
8047,0.98,2.37
3260,6.29,8.67
1607,7.83,16.51
34468,0.42,0.43
16971,0.67,1.15
9200,2.62,3.8
2728,3.72,7.54
2271,3.26,10.81
10660,7.68,7.68
5518,0.93,8.63
3849,8.09,16.73
2930,2.84,19.58
1586,18.23,37.82
1338,21.53,59.36
1210,3.43,62.79
28206,1,1.01
27470,3.96,5.01
15570,2.04,7.09
8651,20.79,27.9
5107,1.94,29.86
3254,8.43,38.3
1799,8.09,46.4
36111,4.03,4.03
7907,0.54,4.62
7659,2.98,7.61
6081,1.41,9.04
5585,4,13.05
2449,8.78,21.84
