turns,time,total_time
45280,1.18,1.19
25882,1.49,2.74
23528,7.38,10.16
11329,8.06,18.25
10300,0.9,19.18
9494,2.35,21.54
8788,3.48,25.04
4322,5.83,30.89
1541,27.96,58.86
805,29.6,88.47
