moves,time_taken
29,2.716890573501587
29,2.74953556060791
29,2.8819382190704346
29,2.7805047035217285
29,2.7513132095336914
29,2.6353349685668945
29,2.749619960784912
29,2.6530141830444336
29,2.574963331222534
29,2.5992629528045654
29,2.7456259727478027
29,2.5725152492523193
29,2.707716941833496
29,2.592060089111328
29,2.5628774166107178
29,2.8031296730041504
29,2.768094062805176
29,2.703652858734131
29,2.6035385131835938
29,2.5952751636505127
29,2.7245895862579346
29,2.707050323486328
29,2.618715524673462
29,2.6866228580474854
29,2.5628843307495117
29,2.6020307540893555
29,2.573554754257202
29,2.6276824474334717
29,2.5621705055236816
29,2.6910312175750732
29,2.6537067890167236
29,2.635486602783203
29,2.6074557304382324
29,2.6908023357391357
29,2.6037116050720215
29,2.681429862976074
29,2.52248477935791
29,2.7079594135284424
29,2.6646275520324707
29,2.6362452507019043
29,2.64319109916687
29,2.559950590133667
29,2.5980043411254883
29,2.71702241897583
29,2.673644781112671
29,2.6266419887542725
29,2.6766879558563232
29,2.5006349086761475
29,2.6717705726623535
29,2.959390640258789
29,3.150188684463501
29,2.9290931224823
29,2.626664161682129
29,2.579158067703247
29,2.599745512008667
29,2.743968963623047
29,2.724595546722412
29,2.6975560188293457
29,2.688962697982788
29,2.7241086959838867
29,2.662419557571411
29,2.6882307529449463
29,2.59340763092041
29,2.6563868522644043
29,2.542912721633911
29,2.69258451461792
29,2.6759488582611084
29,2.555070400238037
29,2.6196672916412354
29,2.6060032844543457
29,2.5958375930786133
29,2.615795612335205
29,2.7586402893066406
29,2.5871946811676025
29,2.670809507369995
29,2.5058319568634033
29,2.7713119983673096
29,2.584918737411499
29,2.729526996612549
29,2.6195614337921143
29,2.813826560974121
29,2.5493814945220947
29,2.664572238922119
29,2.6788766384124756
29,2.6552722454071045
29,2.6833107471466064
29,2.504356861114502
29,2.7704885005950928
29,2.706098794937134
29,2.712002992630005
29,2.565373182296753
29,2.6865415573120117
29,2.5266292095184326
29,2.6440858840942383
29,2.7441017627716064
29,2.671544313430786
29,2.638366460800171
29,2.6971499919891357
29,2.584066390991211
29,2.664111614227295
29,2.6730258464813232
29,2.6554460525512695
29,2.708064556121826
29,2.604818820953369
29,2.7131686210632324
29,2.645958662033081
29,2.672618865966797
29,2.605571985244751
29,2.6885995864868164
29,2.4648983478546143
29,2.7894997596740723
29,2.687080144882202
29,2.7962985038757324
29,2.707508087158203
29,2.6774795055389404
29,2.821964979171753
29,2.6723222732543945
29,2.782289981842041
29,2.693364381790161
29,2.709965944290161
29,2.6284570693969727
29,2.7168092727661133
29,2.7554771900177
29,2.7401914596557617
29,2.797595262527466
29,2.672567129135132
29,2.8428752422332764
29,2.6345531940460205
29,2.697772741317749
29,2.658849000930786
