turns,time,total_time
1851,32.26,72.93
954,36.08,109.02
6916,8.27,8.27
3927,1.42,9.7
3038,16.11,25.82
8799,13.91,13.91
7182,9.08,23
7107,3.55,26.56
6600,8.3,34.87
6187,21.12,56
5186,1.88,57.9
4497,17.4,75.3
3875,0.14,75.44
1872,16.96,92.41
1781,15.18,107.59
593,2.57,110.16
9022,3.51,3.51
6082,0.82,4.35
3763,4.74,9.09
2157,6.56,15.67
1669,4.95,20.62
8090,0.52,0.52
7113,41.39,41.93
3035,6.54,48.48
2828,2.74,51.23
4430,3.25,3.25
1894,45.05,48.3
3881,1.11,1.11
1568,4.69,5.81
9076,1.5,1.5
7402,0.48,2
4708,13.08,15.09
7092,4.38,4.38
6291,44.27,48.67
6213,9.18,57.86
2827,2.76,60.63
6456,1.39,1.39
6295,24.09,25.49
3543,23.42,48.92
1916,10.77,59.69
7542,20.66,20.67
5129,30.08,50.76
9988,7.14,7.14
4541,1.74,8.9
4164,17.38,26.29
3267,20.8,47.1
7781,8.39,8.39
5773,7.02,15.42
4759,24.59,40.02
4191,31.9,71.93
5504,0.29,0.29
3119,18.17,18.47
6327,0.68,0.69
4886,2.34,3.04
4325,8.11,11.16
2866,14.81,25.98
1524,48.74,74.73
9945,5.64,5.64
7309,9.84,15.5
6238,10.46,25.97
5585,0.9,26.88
5557,2.17,29.06
8542,2.4,2.41
7090,2.05,4.47
6485,27.41,31.89
3955,13.64,45.54
3024,58.13,103.68
7408,13.26,13.26
3697,0.19,13.46
3140,40.04,53.51
1795,43.26,96.77
1014,1.53,1.54
6274,9.19,9.19
2477,7.97,17.18
1947,49.73,66.92
1859,34.23,101.15
8599,1.46,1.47
6233,7.83,9.31
4870,36.23,45.55
3480,29.3,74.85
3290,32.72,107.58
3102,4.64,112.22
1176,53.5,165.73
7090,5.28,5.28
1786,2.83,8.12
4917,5.83,5.83
3530,8.15,13.98
9662,2.94,2.94
7901,21.63,24.58
5877,4.62,29.22
3459,19.2,48.42
2701,2.44,50.87
7268,5.89,5.9
5925,0.29,6.19
5657,3.35,9.55
5576,30.63,40.2
4764,41.1,81.31
2526,37.92,119.24
2272,42.14,161.39
8856,4.54,4.54
2947,0.81,5.37
8717,0.28,0.28
6484,12.18,12.47
3650,4.85,17.33
3312,21.74,39.08
1975,9.94,49.03
8262,5.46,5.47
6946,3.98,9.46
5309,2.24,11.71
3350,33.19,44.92
3141,8.95,53.87
8463,12.73,12.73
3118,22.84,35.58
2983,11.28,46.87
2218,35.43,82.3
8795,5.3,5.3
6802,22.57,27.88
6290,5.84,33.74
5920,4.94,38.69
1672,16.7,55.4
