turns,time,total_time
7631,0.32,0.32
3393,0.27,0.61
2011,0.46,1.07
1720,1.28,2.36
1207,3.05,5.41
738,1.21,6.62
546,0.89,7.52
522,3.05,10.57
335,0.98,11.55
271,5.67,17.23
128,23.8,41.04
8280,0.36,0.36
2272,0.02,0.39
866,0.72,1.11
822,1.48,2.59
645,2.72,5.31
389,0.57,5.89
386,6.87,12.76
287,3.52,16.29
266,0.86,17.15
4264,0.67,0.67
1305,0.2,0.88
709,1.03,1.92
512,0.55,2.47
412,0.59,3.06
404,1.17,4.23
358,0.67,4.91
259,6.55,11.46
226,16.1,27.56
6947,0.52,0.53
5500,0.31,0.85
2176,0.02,0.88
202,0.32,1.21
167,11.57,12.79
153,6.97,19.76
9400,0.1,0.1
5429,0.83,0.95
4886,2.13,3.09
2031,0.39,3.49
1184,0.3,3.79
949,0.85,4.65
601,0.66,5.32
282,10.37,15.69
275,8.69,24.38
272,22.05,46.44
266,18.81,65.26
144,17.36,82.62
4906,0.79,0.79
772,0.17,0.96
742,0.09,1.06
628,0.19,1.25
425,2.52,3.78
402,7.02,10.8
311,1.3,12.1
174,7.89,19.99
3196,0.45,0.45
2612,0.18,0.64
1657,1.16,1.81
1503,0.17,1.98
990,0.86,2.85
803,0.7,3.55
558,0.41,3.97
415,2.08,6.05
243,6.05,12.1
209,17.24,29.34
1677,0.28,0.28
879,0.26,0.55
389,2.24,2.79
370,3.75,6.54
336,2.07,8.61
312,3.56,12.18
301,17.59,29.76
172,4.09,33.86
7003,0.35,0.36
590,0.32,0.69
588,0.03,0.72
468,4.66,5.39
391,0.75,6.14
297,2.37,8.52
292,6.32,14.84
278,12.03,26.87
219,3.06,29.93
168,6.79,36.73
2610,0.72,0.72
1207,0.19,0.92
620,2.72,3.65
592,2.16,5.82
562,0.61,6.43
546,2.99,9.42
352,0.2,9.63
256,6.7,16.34
4646,1.52,1.52
3584,0.58,2.11
701,0.01,2.13
411,0.82,2.95
376,2.5,5.45
268,0.13,5.6
186,0.22,5.82
166,26.43,32.26
736,0.01,0.01
218,0.17,0.18
171,2.2,2.38
6888,0.79,0.79
2511,0.17,0.97
2073,0.64,1.62
731,0.26,1.88
441,0.2,2.09
380,0.51,2.61
275,6.51,9.12
233,5.02,14.15
6232,0.17,0.17
550,0.45,0.62
499,0.65,1.28
231,2.09,3.37
1480,0.02,0.02
978,0.18,0.21
627,2.45,2.66
267,2.22,4.88
244,2.57,7.46
196,12.48,19.94
120,7.06,27.01
7114,0.28,0.29
3353,0.27,0.57
