turns,time,total_time
525,0.08,0.12
344,0.21,0.35
330,1.9,2.25
224,0.23,2.48
222,1.54,4.02
220,5.73,9.75
117,7.75,17.5
8580,0.11,0.11
428,0.01,0.13
355,1.56,1.69
323,0.09,1.78
265,1.24,3.03
241,1.36,4.39
239,2.95,7.34
193,0.25,7.6
3202,0.04,0.04
2442,0.03,0.08
1045,0.01,0.1
827,0.01,0.12
501,0.06,0.18
438,0.43,0.62
427,0.83,1.46
330,0.79,2.25
161,4.02,6.27
149,5.45,11.73
2051,0.02,0.03
1765,0.02,0.05
1379,0.04,0.1
810,0.09,0.19
549,0.08,0.28
343,0.29,0.57
304,2.11,2.68
196,2.08,4.77
133,5.55,10.32
1903,0.02,0.03
1272,0.02,0.05
644,0.01,0.06
526,0.37,0.44
261,0.26,0.71
208,3,3.71
150,2.21,5.92
148,16.81,22.74
148,29,51.74
872,0.01,0.01
666,0.11,0.13
592,0.04,0.17
513,0.15,0.33
459,0.42,0.75
243,0.92,1.68
206,3.34,5.02
136,5.93,10.96
110,10.67,21.63
4314,0.05,0.06
1138,0.01,0.08
1072,0.01,0.1
424,0.02,0.13
362,0.37,0.5
269,0.84,1.35
123,0.31,1.67
2737,0.03,0.04
1093,0.02,0.06
735,0.13,0.2
187,0.27,0.47
183,2.99,3.46
151,3.07,6.54
5495,0.07,0.07
1580,0.02,0.1
1028,0.03,0.15
688,0.05,0.2
382,0.18,0.39
238,1.75,2.14
171,0.26,2.41
150,17.14,19.55
111,7.61,27.17
2080,0.02,0.03
2053,0.08,0.12
1292,0.19,0.31
1290,0.07,0.39
1287,0.13,0.52
1010,0.16,0.68
265,0.16,0.85
241,0.78,1.63
185,0.31,1.94
183,0.28,2.22
165,1.54,3.76
1045,0.02,0.02
443,0.13,0.15
424,0.05,0.21
378,0.37,0.58
370,1.22,1.81
315,0.04,1.86
233,0.71,2.57
220,1.14,3.71
149,0.6,4.32
447,0.01,0.01
418,0.15,0.17
344,0.2,0.37
319,2.99,3.36
128,0.25,3.61
8706,0.11,0.11
3281,0.04,0.17
1803,0.07,0.24
1261,0.02,0.27
1078,0.07,0.34
884,0.06,0.41
452,0.19,0.6
428,0.18,0.79
393,1.25,2.04
319,0.28,2.33
206,0.38,2.71
184,3.05,5.76
160,4.98,10.75
108,15.82,26.57
1512,0.02,0.02
1460,0.1,0.13
329,0.03,0.16
275,0.55,0.71
237,2.21,2.93
178,1.33,4.26
2928,0.04,0.04
1782,0.06,0.11
1524,0.09,0.21
813,0.01,0.23
756,0.28,0.51
391,0.02,0.53
341,0.19,0.73
280,0.55,1.28
163,0.37,1.66
139,15.76,17.42
3446,0.04,0.05
1437,0.06,0.12
969,0.12,0.24
966,0.25,0.5
357,0.03,0.53
346,0.01,0.54
301,0.02,0.57
210,0.3,0.87
142,0.03,0.91
899,0.01,0.02
824,0.04,0.06
301,0.13,0.19
284,0.42,0.61
216,0.79,1.41
173,0.14,1.56
163,9.95,11.51
144,24.18,35.7
138,8.43,44.13
130,26.49,70.63
5366,0.06,0.06
1987,0.03,0.11
1738,0.04,0.16
1436,0.04,0.21
1390,0.03,0.25
1148,0.01,0.26
767,0.01,0.28
671,0.03,0.32
511,0.21,0.53
478,0.26,0.79
473,1.29,2.1
461,0.13,2.24
457,0.3,2.54
236,0.62,3.16
102,0.45,3.62
6672,0.08,0.08
2992,0.04,0.13
567,0.01,0.15
538,0.16,0.31
402,0.65,0.96
336,0.39,1.36
335,1.62,2.98
202,0.34,3.33
194,8.83,12.16
182,0.26,12.42
179,3.06,15.49
158,6.7,22.19
643,0.01,0.01
605,0.11,0.12
461,0.35,0.48
276,0.45,0.93
234,9.81,10.75
168,3.08,13.83
154,4.65,18.49
148,3.9,22.39
106,9.8,32.19
1100,0.01,0.01
372,0.04,0.05
198,0.15,0.21
180,3.75,3.97
8710,0.1,0.11
2062,0.13,0.26
1207,0.01,0.28
638,0.18,0.46
589,0.44,0.91
542,0.22,1.14
463,0.5,1.64
290,0.05,1.7
208,2.47,4.16
207,7.17,11.34
182,1.67,13.02
129,7.65,20.68
1243,0.02,0.02
607,0.17,0.19
584,0.04,0.24
463,0.1,0.35
412,0.03,0.38
376,0.46,0.84
262,0.29,1.14
252,0.99,2.13
170,2.34,4.47
128,7.68,12.16
4416,0.06,0.06
926,0.01,0.08
659,0.02,0.11
472,0.12,0.23
426,0.57,0.81
124,0.52,1.33
934,0.01,0.01
500,0.01,0.03
403,0.1,0.13
309,0.27,0.41
150,0.06,0.47
1069,0.01,0.02
950,0.01,0.03
852,0.08,0.12
795,0.33,0.46
467,0.01,0.47
314,0.12,0.59
280,2.29,2.88
198,1.04,3.93
181,9.67,13.6
169,11.16,24.76
160,0.9,25.67
143,4.8,30.47
2171,0.03,0.03
827,0.01,0.05
697,0.07,0.12
541,0.09,0.22
310,0.02,0.25
196,1.51,1.76
144,5.26,7.03
1123,0.01,0.02
830,0.08,0.1
667,0.25,0.36
512,0.09,0.45
333,0.29,0.74
302,0.75,1.5
244,0.12,1.63
209,0.24,1.87
125,4.86,6.74
1473,0.02,0.02
700,0.05,0.08
382,0.18,0.26
235,0.82,1.09
215,2.04,3.13
188,27.59,30.72
181,0.07,30.8
172,13.36,44.16
139,28.07,72.23
139,15.99,88.22
1551,0.02,0.02
1184,0.01,0.05
1124,0.05,0.1
854,0.11,0.21
713,0.01,0.22
499,0.09,0.32
437,0.35,0.68
304,0.33,1.01
271,2.38,3.4
222,0.04,3.44
141,0.43,3.87
1024,0.01,0.01
596,0.34,0.37
343,0.28,0.66
339,0.23,0.9
299,0.43,1.33
247,0.93,2.26
233,2.86,5.12
225,0.34,5.46
210,0.89,6.36
171,7.11,13.47
133,7.9,21.37
4514,0.06,0.06
4321,0.11,0.18
1493,0.02,0.21
1199,0.02,0.23
625,0.06,0.29
580,0.02,0.31
495,0.15,0.47
426,0.55,1.02
388,0.13,1.16
238,0.11,1.27
209,9.91,11.19
157,3.78,14.97
654,0.01,0.01
520,0.44,0.45
445,0.05,0.51
340,0.29,0.8
232,2.09,2.89
120,4.19,7.08
120,25.76,32.85
1816,0.03,0.03
1219,0.09,0.12
999,0.03,0.16
843,0.04,0.2
588,0.01,0.21
385,0.01,0.25
280,0.11,0.37
232,5.62,5.99
196,2.98,8.97
170,2.97,11.94
166,18.39,30.34
2349,0.03,0.03
619,0.01,0.04
561,0.12,0.17
545,0.13,0.31
509,0.43,0.76
465,0.04,0.81
340,0.01,0.82
302,2.86,3.68
223,0.64,4.33
200,8.03,12.35
190,1.63,14
7059,0.08,0.08
955,0.01,0.12
712,0.1,0.22
631,0.04,0.27
353,0.08,0.36
308,0.21,0.57
285,0.2,0.78
219,1.07,1.85
191,11.33,13.19
152,12.73,25.92
142,17.56,43.48
128,10.01,53.5
1416,0.02,0.02
866,0.23,0.25
675,0.11,0.37
581,0.5,0.87
495,0.4,1.28
200,0.36,1.65
151,5.72,7.37
1647,0.02,0.02
563,0.01,0.04
457,0.11,0.15
387,0.46,0.62
206,0.04,0.66
174,7.31,7.98
153,1.27,9.25
2140,0.03,0.03
1660,0.07,0.14
1088,0.27,0.42
740,0.01,0.43
551,0.01,0.46
479,0.5,0.96
471,0.4,1.37
397,0.05,1.42
348,0.88,2.31
180,0.64,2.95
119,8.5,11.46
3773,0.04,0.04
2431,0.03,0.09
1686,0.02,0.12
628,0.01,0.13
489,0.04,0.17
194,0.31,0.5
171,0.1,0.61
168,14.53,15.14
136,4.33,19.48
1766,0.02,0.02
1575,0.02,0.05
978,0.03,0.09
773,0.03,0.12
497,0.39,0.54
425,0.93,1.47
395,0.37,1.84
322,2.33,4.17
212,2.18,6.35
194,5.73,12.09
152,0.55,12.66
148,8.96,21.62
1759,0.02,0.02
557,0.03,0.06
503,0.22,0.32
215,0.05,0.38
212,7.7,8.09
205,2.16,10.25
183,3.6,13.87
156,23.99,37.88
773,0.01,0.01
697,0.09,0.11
304,0,0.13
256,0.39,0.52
221,1.35,1.89
203,12.79,14.69
116,8.35,23.05
1357,0.02,0.02
1251,0.02,0.04
762,0.01,0.06
559,0.31,0.37
436,0.25,0.62
299,0.77,1.41
156,0.88,2.29
132,20.94,23.24
126,9.43,32.67
2476,0.03,0.03
1191,0.05,0.08
1020,0.03,0.12
279,0.2,0.33
233,1.36,1.69
163,2.28,3.98
116,10.41,14.39
3009,0.04,0.04
871,0.01,0.06
665,0.03,0.1
445,0.12,0.22
417,0.11,0.34
360,0.09,0.44
289,0.8,1.28
263,1.09,2.37
252,0.42,2.8
249,1.3,4.11
136,5.78,9.89
1947,0.03,0.03
809,0.09,0.13
351,0.03,0.16
229,0.09,0.25
221,2.49,2.74
214,7.13,9.88
204,9.84,19.73
200,7.01,26.75
179,1.46,28.21
127,24.23,52.45
6011,0.07,0.07
4120,0.05,0.13
1842,0.02,0.16
1408,0.02,0.19
1165,0.02,0.23
914,0.03,0.27
903,0.05,0.32
566,0.08,0.4
485,0.13,0.53
418,0.81,1.36
268,0.15,1.51
262,1.51,3.02
244,0.64,3.66
208,0.18,3.85
158,2.22,6.09
142,14.43,20.53
131,3.39,23.93
1590,0.02,0.02
972,0.06,0.09
537,0.01,0.1
383,0.01,0.11
353,0.05,0.16
270,0.51,0.67
238,0.73,1.41
204,5.47,6.89
188,9.06,15.96
187,15.24,31.22
146,8.37,39.6
146,9.01,48.62
146,18.62,67.25
110,2.8,70.06
1152,0.02,0.02
247,0.08,0.1
177,2.04,2.15
129,6.92,9.08
1435,0.02,0.02
767,0.03,0.05
353,0.02,0.07
353,0.85,0.93
263,1.2,2.14
220,0.65,2.8
135,3.42,6.23
2670,0.03,0.03
1850,0.02,0.06
809,0.06,0.13
373,0.21,0.35
303,0.06,0.43
301,2.4,2.83
206,5.36,8.2
181,5.25,13.47
158,1.04,14.53
5495,0.07,0.07
1477,0.09,0.17
550,0.18,0.35
525,0.14,0.49
427,0.49,1
367,0.42,1.43
331,2.08,3.52
324,0.52,4.05
291,3.42,7.48
232,1.28,8.76
228,17.01,25.78
175,0.01,25.8
109,6.37,32.17
3392,0.04,0.04
1557,0.06,0.11
1518,0.06,0.18
1183,0.03,0.22
1130,0.06,0.29
637,0.06,0.35
627,0.06,0.41
593,0.16,0.57
560,0.04,0.66
508,0.27,0.93
327,0.03,0.97
308,0.96,1.93
308,1.41,3.34
293,0.51,3.87
280,3.78,7.68
243,0.81,8.49
229,2.91,11.41
201,4.4,15.82
194,6.89,22.73
118,2.73,25.47
95,9.82,35.31
2417,0.03,0.03
1434,0.01,0.05
480,0.03,0.08
447,0.37,0.46
436,0.7,1.18
337,0.23,1.43
233,1.22,2.65
230,3.38,6.04
147,4.03,10.07
4164,0.05,0.05
1282,0.07,0.13
1087,0.07,0.2
616,0.02,0.23
598,0.07,0.31
571,0.04,0.4
552,0.1,0.51
514,0.22,0.74
308,0.57,1.31
160,0.23,1.56
156,11.1,12.67
1053,0,0
199,0.07,0.08
137,0.1,0.2
1666,0.02,0.02
1350,0.01,0.04
738,0.1,0.15
608,0.35,0.52
597,0.27,0.8
493,0.03,0.84
448,0.02,0.87
262,0,0.88
208,0.31,1.2
194,1.94,3.15
193,9.92,13.09
165,17.09,30.19
143,5.35,35.54
143,6.28,41.83
136,0.69,42.53
1420,0.02,0.02
601,0.13,0.15
441,0.12,0.28
393,0.03,0.31
387,0.21,0.52
237,0.16,0.69
194,2.36,3.05
160,1.14,4.19
136,4.92,9.11
2297,0.15,0.15
1045,0.01,0.2
677,0.01,0.21
561,0.04,0.26
442,0.07,0.34
240,0.22,0.56
164,14.02,14.59
141,0.58,15.18
2052,0.03,0.03
1843,0.1,0.14
922,0.13,0.28
847,0.02,0.31
320,0.03,0.34
237,0.11,0.45
184,7.1,7.56
168,6.2,13.77
125,25.8,39.58
981,0.01,0.01
798,0.24,0.25
660,0.09,0.36
586,0.19,0.55
344,0.25,0.81
306,1.79,2.61
297,0.71,3.32
236,0.85,4.18
169,5.44,9.62
136,7.15,16.78
126,5.66,22.46
807,0,0
807,0.32,0.34
742,0.19,0.53
415,0.31,0.86
347,0.5,1.38
293,0.89,2.27
279,0.5,2.78
264,0.75,3.54
263,0.3,3.84
259,3.13,6.98
164,5.57,12.56
110,8.94,21.5
2084,0.02,0.03
1213,0.04,0.07
859,0,0.08
388,0.01,0.11
265,0.21,0.33
245,0.52,0.85
175,0.86,1.71
158,10.78,12.51
128,14.06,26.57
394,0.01,0.01
311,0.04,0.05
281,2.39,2.45
200,1.71,4.17
170,17.63,21.8
159,2.8,24.6
148,3.46,28.08
3298,0.04,0.05
609,0.01,0.07
148,0.01,0.08
2347,0.03,0.03
792,0.07,0.11
266,0.06,0.18
210,0.05,0.23
177,11.41,11.65
141,11.31,22.97
