turns,time,total_time
4413,0.07,0.07
3126,0.1,0.18
2995,0.16,0.35
1965,0.02,0.38
825,0.31,0.69
709,0.04,0.74
555,0.24,0.99
510,0.01,1
466,0.13,1.13
433,2.64,3.78
425,0.44,4.24
347,0.44,4.69
249,0.01,4.71
202,4.54,9.25
174,3.43,12.69
150,0.97,13.67
129,12.4,26.07
115,7.52,33.6
2067,0.03,0.03
1374,0.02,0.05
490,0.12,0.18
197,1.14,1.32
153,1.46,2.78
97,14.63,17.41
352,0.01,0.01
253,1.24,1.25
187,1.18,2.44
92,3.44,5.9
4955,0.06,0.06
3797,0.06,0.13
2825,0.09,0.24
1343,0.06,0.3
799,0.01,0.32
599,0.01,0.33
398,0.14,0.48
150,0.16,0.64
5503,0.07,0.07
5041,0.07,0.16
2423,0.03,0.19
1980,0.03,0.23
1423,0.02,0.25
736,0.03,0.29
240,0.05,0.35
219,0.24,0.59
204,0.79,1.39
190,11.55,12.94
177,11.53,24.47
153,3.79,28.26
148,20.94,49.21
114,2.25,51.46
102,12.8,64.27
1127,0.01,0.02
659,0.01,0.03
510,0.03,0.07
497,0.12,0.2
464,0.04,0.25
382,0.22,0.47
344,0.41,0.89
243,0.59,1.48
196,6.71,8.2
146,2.21,10.41
118,7.54,17.95
101,11.78,29.74
1657,0.02,0.02
1321,0.02,0.05
1242,0.08,0.13
687,0.03,0.16
547,0.08,0.24
470,0.18,0.42
409,0.1,0.52
397,0.98,1.51
247,0.05,1.56
147,0,1.57
143,8.17,9.74
1363,0.02,0.02
1323,0.02,0.05
716,0.05,0.1
431,0.05,0.16
215,0.2,0.36
206,5.06,5.43
137,4.24,9.68
97,14.88,24.56
4061,0.05,0.05
720,0.01,0.07
651,0.03,0.11
211,0.52,0.64
211,1.75,2.4
120,6.18,8.58
1315,0.02,0.02
1290,0.06,0.08
1159,0.08,0.17
1079,0.14,0.31
1055,0.03,0.34
887,0.26,0.61
613,0.07,0.68
400,0.12,0.8
355,0.21,1.02
297,0.57,1.59
234,0.33,1.93
216,0.73,2.66
192,0.53,3.2
160,0.53,3.73
126,0.79,4.52
482,0.01,0.01
410,0.15,0.16
296,0.3,0.47
283,0.91,1.38
227,2.04,3.43
206,1.5,4.94
113,15.87,20.81
918,0.01,0.01
918,0.03,0.05
701,0.11,0.16
585,0.02,0.18
262,0.06,0.24
256,1.22,1.47
162,2.59,4.06
147,24.51,28.57
133,6.01,34.58
2898,0.04,0.04
2136,0.03,0.07
2018,0.03,0.11
1620,0.02,0.14
1250,0.04,0.19
1215,0.04,0.23
1165,0.19,0.42
1149,0.03,0.46
906,0.12,0.58
611,0.07,0.65
380,0.06,0.72
271,0.49,1.21
112,2.92,4.13
107,5.91,10.05
490,0.01,0.01
417,0.42,0.43
329,0.45,0.88
92,0.23,1.11
2117,0.03,0.03
2062,0.06,0.09
543,0.04,0.14
501,0.13,0.27
383,0.27,0.55
127,0.79,1.34
5932,0.07,0.07
1313,0.02,0.11
801,0.07,0.19
797,0.1,0.29
737,0.06,0.36
638,0.06,0.42
445,0.14,0.56
384,0.09,0.66
373,1.33,2
274,0.07,2.07
247,1.27,3.35
193,1.72,5.07
176,5.02,10.11
140,11.43,21.54
129,6.07,27.61
4357,0.05,0.06
1407,0.02,0.09
1187,0.08,0.17
1005,0.26,0.43
895,0.03,0.49
686,0.01,0.51
666,0.23,0.74
395,0.01,0.77
269,0.91,1.69
260,0.06,1.77
140,1.08,2.87
4266,0.05,0.06
562,0.01,0.07
390,0.13,0.21
372,0.78,0.98
344,0.28,1.27
306,0.51,1.78
172,1.99,3.77
163,25.42,29.19
121,25.68,54.88
120,4.94,59.82
2352,0.04,0.04
1648,0.15,0.19
1525,0.02,0.22
442,0.14,0.36
261,0.11,0.47
222,0.26,0.74
137,6.2,6.95
109,18.98,25.93
1107,0.01,0.02
1001,0.44,0.47
559,0.15,0.62
497,0.59,1.22
366,0.19,1.41
357,0.97,2.38
331,0.38,2.76
269,0.4,3.17
229,3.49,6.66
122,5.06,11.73
314,0.01,0.01
246,5.75,5.76
182,0.5,6.25
176,2.38,8.63
166,1.22,9.85
1429,0.01,0.01
1048,0.15,0.18
872,0.04,0.23
776,0.14,0.37
519,0.3,0.68
437,0.47,1.15
350,0.69,1.84
241,2.04,3.89
184,0.02,3.91
147,23.55,27.46
136,1.61,29.08
516,0.01,0.01
413,0.07,0.09
398,0.71,0.8
326,1.26,2.06
249,0.73,2.79
173,6.21,9
107,3.39,12.39
2744,0.04,0.04
1307,0.05,0.1
1032,0.03,0.14
645,0.07,0.21
491,0.04,0.25
483,0.45,0.7
392,0.12,0.83
389,0.28,1.13
296,1.47,2.6
267,0.42,3.03
220,5.42,8.45
193,0.93,9.38
157,2.36,11.75
138,3.99,15.75
124,28.46,44.21
3814,0.05,0.05
761,0.1,0.16
542,0.03,0.19
253,0.15,0.34
193,2.58,2.93
127,6.03,8.96
1945,0.03,0.03
817,0.09,0.13
691,0.47,0.6
252,0.26,0.87
179,3.55,4.43
173,2.74,7.17
154,26.39,33.56
154,2.51,36.07
138,9.74,45.81
2111,0.03,0.03
1789,0.13,0.18
825,0.02,0.2
644,0.07,0.28
283,0.43,0.71
273,0.78,1.5
239,6.85,8.35
191,1.88,10.24
136,3.01,13.25
110,20.36,33.61
1527,0.02,0.02
1266,0.04,0.07
739,0.03,0.12
381,0.01,0.13
332,0.11,0.25
296,0.62,0.86
254,0.21,1.08
141,0.73,1.82
2590,0.03,0.04
2121,0.03,0.07
1319,0.02,0.09
655,0.06,0.15
383,0.28,0.43
272,0.75,1.19
223,5.72,6.92
150,5.72,12.64
1101,0.01,0.01
807,0.04,0.05
528,0.03,0.08
389,0.28,0.37
231,0.92,1.3
195,1.17,2.47
158,1.01,3.48
76,5.77,9.26
3615,0.05,0.05
2907,0.04,0.09
958,0.01,0.11
468,0.05,0.17
459,0.2,0.38
374,0.07,0.45
366,0.34,0.81
365,1.64,2.45
195,0.89,3.34
173,19.01,22.36
168,5.36,27.72
126,22.64,50.36
992,0,0
861,0.04,0.06
646,0.49,0.58
333,0.04,0.62
192,1.11,1.73
191,4.44,6.17
185,0.15,6.32
108,2.64,8.97
1140,0.02,0.02
746,0.04,0.07
544,0.05,0.13
279,0.03,0.15
216,0.17,0.33
173,2.13,2.46
126,22.67,25.13
113,0.18,25.31
1674,0.02,0.02
552,0,0.02
